"","","se","2.5%","97.5%"
"(Intercept).t1",280,0.19,280,280
"LandUseBarren.t1",2.41,0.147,2.21,2.62
"LandUseCrop.t1",0.209,0.145,0.141,0.497
"LandUseShrub/Savanna.t1",0.377,0.0989,0.338,0.588
"LandUseUrban.t1",3.53,0.125,3.44,3.66
"LandUseWater.t1",5.42,0.0952,5.34,5.6
"LandUseWetlands.t1",0.685,0.144,0.564,0.969
"Dist2Ocean.t1",-2.43e-05,7.9e-07,-2.53e-05,-2.36e-05
"(Intercept).t2",282,0.136,282,282
"LandUseBarren.t2",1.59,0.146,1.36,1.79
"LandUseCrop.t2",0.0914,0.139,0.00639,0.477
"LandUseShrub/Savanna.t2",0.294,0.0976,0.249,0.573
"LandUseUrban.t2",1.58,0.0994,1.47,1.76
"LandUseWater.t2",3.25,0.0997,3.16,3.51
"LandUseWetlands.t2",0.487,0.151,0.365,0.87
"Dist2Ocean.t2",-2.98e-05,4.78e-07,-3.02e-05,-2.9e-05
"(Intercept).t3",286,0.0673,286,286
"LandUseBarren.t3",0.619,0.146,0.386,0.837
"LandUseCrop.t3",0.12,0.153,0.0171,0.558
"LandUseShrub/Savanna.t3",0.169,0.113,0.117,0.501
"LandUseUrban.t3",0.0879,0.112,-0.0571,0.294
"LandUseWater.t3",0.43,0.108,0.33,0.713
"LandUseWetlands.t3",0.23,0.156,0.0935,0.667
"Dist2Ocean.t3",-1.91e-05,1.38e-06,-2.22e-05,-1.73e-05
"(Intercept).t4",288,0.0725,288,288
"LandUseBarren.t4",0.366,0.139,0.134,0.583
"LandUseCrop.t4",0.168,0.159,0.0507,0.618
"LandUseShrub/Savanna.t4",0.176,0.122,0.117,0.537
"LandUseUrban.t4",-0.000582,0.124,-0.158,0.239
"LandUseWater.t4",-0.311,0.111,-0.422,-0.0268
"LandUseWetlands.t4",0.074,0.155,-0.0773,0.53
"Dist2Ocean.t4",-1.19e-05,1.31e-06,-1.53e-05,-1.11e-05
"(Intercept).t5",290,0.108,290,290
"LandUseBarren.t5",0.13,0.134,-0.0935,0.362
"LandUseCrop.t5",0.227,0.163,0.0989,0.657
"LandUseShrub/Savanna.t5",0.166,0.128,0.102,0.54
"LandUseUrban.t5",-0.0139,0.138,-0.18,0.26
"LandUseWater.t5",-0.648,0.115,-0.768,-0.359
"LandUseWetlands.t5",0.00964,0.153,-0.154,0.416
"Dist2Ocean.t5",-6.64e-06,1.09e-06,-9.21e-06,-5.63e-06
"(Intercept).t6",291,0.112,291,291
"LandUseBarren.t6",-0.111,0.131,-0.331,0.113
"LandUseCrop.t6",0.254,0.166,0.117,0.663
"LandUseShrub/Savanna.t6",0.137,0.132,0.0677,0.519
"LandUseUrban.t6",0.0159,0.152,-0.156,0.33
"LandUseWater.t6",-0.942,0.12,-1.07,-0.65
"LandUseWetlands.t6",-0.0516,0.148,-0.2,0.31
"Dist2Ocean.t6",-4.22e-06,4.55e-07,-4.84e-06,-3.82e-06
"(Intercept).t7",292,0.138,292,293
"LandUseBarren.t7",-0.294,0.127,-0.495,-0.0581
"LandUseCrop.t7",0.278,0.169,0.132,0.668
"LandUseShrub/Savanna.t7",0.127,0.136,0.0516,0.505
"LandUseUrban.t7",0.0314,0.168,-0.141,0.426
"LandUseWater.t7",-1.2,0.125,-1.35,-0.907
"LandUseWetlands.t7",-0.0888,0.144,-0.24,0.237
"Dist2Ocean.t7",-1.82e-06,5.96e-07,-2.22e-06,-2.19e-07
"(Intercept).t8",293,0.142,293,293
"LandUseBarren.t8",-0.374,0.126,-0.566,-0.137
"LandUseCrop.t8",0.311,0.17,0.16,0.687
"LandUseShrub/Savanna.t8",0.145,0.139,0.0677,0.525
"LandUseUrban.t8",0.0496,0.183,-0.125,0.524
"LandUseWater.t8",-1.44,0.128,-1.6,-1.15
"LandUseWetlands.t8",-0.115,0.14,-0.277,0.201
"Dist2Ocean.t8",2.94e-06,6.24e-07,2.42e-06,4.15e-06
"(Intercept).t9",294,0.139,293,294
"LandUseBarren.t9",-0.295,0.129,-0.503,-0.0486
"LandUseCrop.t9",0.346,0.17,0.191,0.713
"LandUseShrub/Savanna.t9",0.198,0.141,0.116,0.58
"LandUseUrban.t9",0.0651,0.194,-0.115,0.594
"LandUseWater.t9",-1.6,0.129,-1.76,-1.31
"LandUseWetlands.t9",-0.0909,0.139,-0.271,0.211
"Dist2Ocean.t9",6.93e-06,6.45e-07,6.19e-06,7.75e-06
"(Intercept).t10",294,0.119,294,294
"LandUseBarren.t10",-0.0944,0.131,-0.314,0.153
"LandUseCrop.t10",0.369,0.168,0.212,0.734
"LandUseShrub/Savanna.t10",0.265,0.137,0.182,0.644
"LandUseUrban.t10",0.0796,0.193,-0.103,0.626
"LandUseWater.t10",-1.63,0.123,-1.79,-1.34
"LandUseWetlands.t10",-0.0278,0.138,-0.213,0.276
"Dist2Ocean.t10",7.88e-06,5.61e-07,6.95e-06,8.68e-06
